Sr.No.,Name of company,Year founded,Technology,Business Model,Location,Number of Employees,Revenue,Most Recent Funding Amount,Number of Funding Rounds
1,BLU Smart,2019,Ride-hailing for electric four-wheelers,App-based aggregator network for electric ride-hailing services,"Gurugram, India",,8500000.0,110000000.0,
2,Revolt Motors,2014,Electric motorcycle manufacturing,Manufacturer of AI-enabled electric motorcycles (RV300 and RV400),"Gurgaon, India",,22000000.0,20000000.0,
3,3EV Industries,2019,Electric three-wheeled utility vehicles and conversion kits,Manufacturing electric cargo vehicles and conversion kits,"Bengaluru, India",,10000000.0,5670000.0,
4,OLA Electric,2017,Electric scooter manufacturing,Manufacturer of electric scooters and developing electric vehicles,"Bengaluru, India",,230000000.0,1220000000.0,
5,EChargeup,2019,Electric rickshaw battery changing station provider,Provides electric battery swapping stations for electric rickshaws,"Delhi, India",,5000000.0,9560000.0,
6,Euler Moters,2015,E-rickshaws and fleet mobility solutions,Manufacturer of e-rickshaws and provider of fleet leasing solutions,"Delhi, India",,3000000.0,91900000.0,
7,SmartE,2015,Electric autorickshaw for last-mile transportation,Platform for hiring electric autorickshaws for last-mile transportation,"Delhi, India",,2000000.0,21700000.0,
8,Electric Pe,2021,App-based platform for finding EV charging stations,Assists users in locating EV charging facilities,"Bengaluru, India",,1000000.0,8289999.999999999,
9,EMotorad,2020,Electric bicycle manufacturing,Manufacturer of electric bicycles with various features,"Pune, India",,500000.0,5900000.0,
10,Ather Energy,2013,Electric scooter manufacturing,Designs and develops electric scooters with various features,"Bengaluru, India",,120000000.0,336000000.0,
11,BGauss,2019,Electric scooter manufacturing,"Features multiple riding modes, removable Li-ion batteries, and more","Mumbai, India",,20000000.0,7000000.0,
12,Yulu,2017,Electric bicycle rental platform,App-based platform for renting GPS and Bluetooth-enabled bicycles,"Bengaluru, India",,10000000.0,105000000.0,
13,Cell Propulsion,2016,Power conversion kit creator,Provides power conversion kits for electric fleets,"Bengaluru, India",,15000000.0,5260000.0,
14,Ultraviolette Automotive,2016,Electric motorcycle manufacturing,Creates electric motorcycles with various features,"Bengaluru, India",,5000000.0,63700000.0,
15,Emote Electric,2019,Smart Geared electric vehicles,"Creates Smart Geared electric vehicles, including the ""Surge"" e-motorcycle","Coimbatore, India",,3000000.0,,
16,Electorque,2019,Cloud-based solutions for electric micromobility,Provides hardware and software-enabled electric mobility solutions,"Delhi, India",,2000000.0,3170000.0,
17,BatterySmart,2020,Manufacturer of electric vehicle battery-swapping station network,Provides battery-swapping stations for electric vehicles,"Delhi, India",,1000000.0,41000000.0,
18,Tork Motors,2016,Electric motorcycle manufacturing,Manufacturer of electric motorcycles with various features,"Pune, India",,500000.0,4210000.0,
19,AltiGreen,2013,Electric three-wheeled cargo vehicles manufacturing,Creates several versions of three-wheeled utility vehicles,"Bengaluru, India",,5000000.0,48800000.0,
20,BOLT,2017,Online motorcycle rental network,Allows users to pick and hire e-bikes and mopeds online,"San Francisco, United States",,3000000.0,2500000.0,
21,Charge Zone,2018,Provider of EV charging solutions,Provides EV charging solutions for station operators via SaaS,"Vadodara, India",,2000000.0,71200000.0,
22,Corrit Electric,2019,Electric scooter manufacturing,Design and development of electric scooters for commuting and deliveries,"Gurgaon, India",,1000000.0,9210000.0,
23,Emflux Motors,2016,Electric bike manufacturing,Aims to create bikes with high acceleration and Li-ion battery,"Bengaluru, India",,500000.0,743000.0,
24,Etrio,2017,Electric automobiles and powertrain systems manufacturing,"Creates retrofitted light commercial vehicles, automobiles, and three-wheelers","Hyderabad, India",,5000000.0,3000000.0,
